# KISS-Conform — the unbacked-clause ledger.
#
# Each line is a normative clause with NO harness test in conformance/, plus WHY.
# The honest record of the gap between what the spec claims is tested and what is
# actually executable — now categorized, so the gap is legible rather than a
# single undifferentiated number.
#
#   clause_id <TAB> test_name <TAB> category <TAB> note
#
# category is one of:
#   untested      no test, not yet accounted for  <- the number that must reach 0
#   lint:<tool>   enforced by a document lint (binds the doc, not an impl)
#   blocked       spec has not pinned the bytes/behaviour yet (note = issue ref)
#   untestable    contradictory/undefined until reworded (note = filed issue)
#   definitional  a test would be a tautology (note = one-line reason)
# Every non-`untested` category MUST carry a note; a bare `untested` needs none.
#
# It is a RATCHET, enforced by tools/kiss_trace.py:
#   * a clause that becomes unbacked and is not listed here FAILS the build;
#   * a listed clause whose harness test now exists FAILS until its line is
#     removed (the ledger only shrinks);
#   * a `lint:<tool>` category is cross-checked against that lint's declared
#     coverage, so the label cannot outrun the enforcement.
#
# `--strict` gates on `untested` + everything not harness/lint-backed (§6.2).
# `--update-ledger` PRESERVES the category/note of a still-unbacked clause and
# adds a newly-unbacked one as bare `untested`.
#
# clause_id	test_name	category	note
KISS-ANNOUNCE-6.3-0010	test_announce_record_count_bounds	lint:kiss_wire	MAX_AVAILABILITY_RECORDS drifts between §6.3-0010 and announce.rs
KISS-ANNOUNCE-6.4-0002	test_announce_query_response_is_contract_or_decline	untested	
KISS-ANNOUNCE-6.4-0003	test_announce_query_revision_match_or_decline	untested	
KISS-ANNOUNCE-6.4-0005	test_announce_query_bit_implies_endpoint	untested	
KISS-ANNOUNCE-6.4-0008	test_announce_no_query_bit_declines	untested	
KISS-ANNOUNCE-6.4-0009	test_announce_decline_code_enum	lint:kiss_wire	a decline_code value drifts between the §6.4-0009 owner and the reference codec
KISS-ANNOUNCE-6.4-0010	test_announce_unknown_decline_code_is_generic	untested	
KISS-ANNOUNCE-6.4-0011	test_announce_response_echoes_identity	untested	
KISS-ANNOUNCE-6.4-0012	test_announce_query_default_revision_is_highest	untested	
KISS-ANNOUNCE-6.5-0001	test_announce_zero_dependency_no_driver_load	untested	
KISS-ANNOUNCE-6.5-0002	test_announce_impl_std_only	untested	
KISS-ANNOUNCE-7.1-0003	test_announce_producer_never_exceeds_profile_cap	untested	
KISS-ANNOUNCE-7.1-0004	test_announce_retire_by_floor_window	untested	
KISS-ANNOUNCE-7.2-0001	test_announce_capabilities_axis_partition	untested	
KISS-ANNOUNCE-7.2-0002	test_announce_ext_bit_assignments	untested	
KISS-ANNOUNCE-7.2-0003	test_announce_feat_bit_assignments	lint:kiss_tables	a FEAT capability bit's name drifts between the §7.2 definition and the §7.2-0003 clause
KISS-ANNOUNCE-7.2-0004	test_announce_sub_bit_assignments	untested	
KISS-ANNOUNCE-7.2-0005	test_announce_reserved_range_tiers	untested	
KISS-ANNOUNCE-7.2-0006	test_announce_unassigned_bits_zero	untested	
KISS-ANNOUNCE-7.2-0008	test_announce_capability_registry_pr_gated	untested	
KISS-ANNOUNCE-7.2-0010	test_announce_sub_axis_is_presence_only	untested	
KISS-ANNOUNCE-7.3-0001	test_announce_both_roles_emit_envelope	untested	
KISS-ANNOUNCE-7.3-0002	test_announce_consumer_zeroes_provider_only_feat	untested	
KISS-ANNOUNCE-8-0001	test_announce_two_version_axes_independent	untested	
KISS-ANNOUNCE-8-0002	test_announce_shape_change_bumps_version	untested	
KISS-ANNOUNCE-8-0003	test_announce_additive_capability_no_version_bump	untested	
KISS-ANNOUNCE-8-0004	test_announce_freeze_gate_two_impls	untested	
KISS-ANNOUNCE-8-0005	test_announce_freeze_gate_foreign_reader	untested	
KISS-ANNOUNCE-8-0006	test_announce_freeze_gate_conform_suite_passes	untested	
KISS-CLASSIFY-6.0-0001	test_classify_determinism_class_exact_byte	untested	
KISS-CLASSIFY-6.0-0002	test_classify_special_value_bit_patterns	untested	
KISS-CLASSIFY-6.1-0001	test_classify_dtype_set_is_closed	lint:kiss_tables	the closed 20-token dtype set drifts (count word or a full dtype table)
KISS-CLASSIFY-6.1-0002	test_classify_dtype_bit_widths	untested	
KISS-CLASSIFY-6.1-0003	test_classify_dtype_numeric_kinds	untested	
KISS-CLASSIFY-6.1-0004	test_classify_dtype_token_spelling	untested	
KISS-CLASSIFY-6.1-0005	test_classify_dtypes_are_pure_storage	untested	
KISS-CLASSIFY-6.1-0006	test_classify_u32_is_ordinary_storage	untested	
KISS-CLASSIFY-6.1-0007	test_classify_bool_encoding	untested	
KISS-CLASSIFY-6.1-0011	test_classify_e5m2_format	untested	
KISS-CLASSIFY-6.1-0012	test_classify_complex_interleaved_layout	untested	
KISS-CLASSIFY-6.2-0001	test_classify_numeric_kind_set_closed	untested	
KISS-CLASSIFY-6.2-0002	test_classify_float_special_values_pinned	untested	
KISS-CLASSIFY-6.3-0001	test_classify_operand_rank_bounds	untested	
KISS-CLASSIFY-6.3-0002	test_classify_operand_active_axes_only	untested	
KISS-CLASSIFY-6.3-0003	test_classify_strides_are_signed_elements	untested	
KISS-CLASSIFY-6.3-0004	test_classify_extent_is_capacity	untested	
KISS-CLASSIFY-6.3-0005	test_classify_alignment_is_bytes	untested	
KISS-CLASSIFY-6.3-0006	test_classify_operand_dtype_in_set	untested	
KISS-CLASSIFY-6.3-0007	test_classify_layout_tag_is_derived	untested	
KISS-CLASSIFY-6.3-0008	test_classify_op_family_is_cell_level	untested	
KISS-CLASSIFY-6.3-0009	test_classify_quant_carried_not_keyed	untested	
KISS-CLASSIFY-6.3-0010	test_classify_symbolic_extent_flags_live_length	untested	
KISS-CLASSIFY-6.4-0001	test_classify_max_rank_is_8	lint:kiss_wire	MAX_RANK drifts between §6.4-0001 and structure_key.rs
KISS-CLASSIFY-6.4-0003	test_classify_structure_key_version_is_3	lint:kiss_vocab	the structure_key schema version drifts between §6.4-0003 (sk3) and SCHEMA_VERSION
KISS-CLASSIFY-6.5-0001	test_classify_layout_tag_enum	lint:kiss_vocab	the Contig structure_key token-code set drifts between §6.5 and the reference code_enum!
KISS-CLASSIFY-6.5-0003	test_classify_vec_width_enum	lint:kiss_vocab	the VecWidth structure_key token-code set drifts between §6.5 and the reference code_enum!
KISS-CLASSIFY-6.5-0004	test_classify_div_bucket_enum	lint:kiss_vocab	the DivBucket structure_key token-code set drifts between §6.5 and the reference code_enum!
KISS-CLASSIFY-6.5-0005	test_classify_index_width_boundary	lint:kiss_vocab	the index-width codes ix32/ix64 drift between §6.5-0005 and derive_index_width
KISS-CLASSIFY-6.5-0006	test_classify_op_family_enum	lint:kiss_vocab	the 24 op-family codes drift between Classify §6.5-0006 and the reference structure_key codec (OP_FAMILIES)
KISS-CLASSIFY-6.5-0007	test_classify_work_class_enum	lint:kiss_vocab	the WorkClass structure_key token-code set drifts between §6.5 and the reference code_enum!
KISS-CLASSIFY-6.5-0008	test_classify_size_class_enum	lint:kiss_vocab	the SizeClass structure_key token-code set drifts between §6.5 and the reference code_enum!
KISS-CLASSIFY-6.5-0009	test_classify_vec_width_derivation	untested	
KISS-CLASSIFY-6.5-0010	test_classify_work_class_element_count	untested	
KISS-CLASSIFY-6.6-0001	test_classify_structure_key_is_admissibility_predicate	untested	
KISS-CLASSIFY-6.6-0002	test_classify_structure_key_is_not_op_identity	untested	
KISS-CLASSIFY-6.6-0003	test_classify_structure_key_extent_free	untested	
KISS-CLASSIFY-6.6-0004	test_classify_structure_key_field_layout	untested	
KISS-CLASSIFY-6.6-0005	test_classify_structure_key_primary_dtype	untested	
KISS-CLASSIFY-6.6-0006	test_classify_structure_key_rank_and_operand_count	untested	
KISS-CLASSIFY-6.6-0007	test_classify_operand_sub_key_fields	untested	
KISS-CLASSIFY-6.6-0008	test_classify_broadcast_axis_mask	untested	
KISS-CLASSIFY-6.6-0011	test_classify_structure_key_derivation_canonical	untested	
KISS-CLASSIFY-6.6-0012	test_classify_derivation_input_tuple	untested	
KISS-CLASSIFY-6.6-0013	test_classify_mixed_rank_axis_alignment	untested	
KISS-CLASSIFY-6.6-0014	test_classify_operand_canonical_order	untested	
KISS-CLASSIFY-6.6-0015	test_classify_secondary_dtype_unkeyed	untested	
KISS-CLASSIFY-6.6-0016	test_classify_contraction_axis_roles	untested	
KISS-CLASSIFY-6.7-0007	test_classify_token_codec_additive	untested	
KISS-CLASSIFY-6.7-0008	test_classify_token_roundtrip	untested	
KISS-CLASSIFY-6.7-0010	test_classify_mask_hex_lowercase	untested	
KISS-CLASSIFY-6.7-0011	test_classify_token_is_only_wire_form	untested	
KISS-CLASSIFY-6.8-0002	test_classify_target_byte_exact_match	untested	
KISS-CLASSIFY-6.8-0003	test_classify_target_namespace_registered	untested	
KISS-CLASSIFY-6.8-0004	test_classify_target_capability_set_owned_by_namespace	untested	
KISS-CLASSIFY-6.8-0005	test_classify_target_token_charset	untested	
KISS-CLASSIFY-6.9-0001	test_classify_no_upstream_dependency	untested	
KISS-CLASSIFY-6.9-0002	test_classify_structure_key_opaque_carry	untested	
KISS-CLASSIFY-6.9-0003	test_classify_zero_dependency	untested	
KISS-CLASSIFY-7.1-0001	test_classify_mandatory_core	untested	
KISS-CLASSIFY-7.2-0001	test_classify_extension_is_additive	untested	
KISS-CLASSIFY-7.2-0002	test_classify_non_additive_bumps_version	untested	
KISS-CLASSIFY-8-0001	test_classify_two_version_axes_independent	untested	
KISS-CLASSIFY-8-0002	test_classify_wire_change_bumps_version	untested	
KISS-CLASSIFY-8-0003	test_classify_additive_no_version_bump	untested	
KISS-CLASSIFY-8-0004	test_classify_freeze_gate_two_dissimilar_impls	untested	
KISS-CLASSIFY-8-0005	test_classify_freeze_gate_foreign_reader	untested	
KISS-CLASSIFY-8-0006	test_classify_freeze_gate_conform_suite_passes	untested	
KISS-CONFORM-6.0-0001	test_conform_determinism_enum_imported	untested	
KISS-CONFORM-6.0-0002	test_conform_comparator_selected_by_class	untested	
KISS-CONFORM-6.0-0003	test_conform_structural_artifacts_byte_exact	untested	
KISS-CONFORM-6.1-0001	test_conform_traceability_matrix_exists	untested	
KISS-CONFORM-6.1-0002	test_conform_every_clause_has_test	untested	
KISS-CONFORM-6.1-0003	test_conform_every_test_cites_clause	untested	
KISS-CONFORM-6.1-0004	test_conform_matrix_derived_from_sidecar	untested	
KISS-CONFORM-6.1-0005	test_conform_coverage_normative_only	untested	
KISS-CONFORM-6.1-0006	test_conform_pod_sidecar_generated	untested	
KISS-CONFORM-6.1-0007	test_conform_sidecar_sole_authority	untested	
KISS-CONFORM-6.1-0008	test_conform_declared_coverage_set	untested	
KISS-CONFORM-6.10-0001	test_conform_expressibility_oracle	untested	
KISS-CONFORM-6.10-0002	test_conform_expressibility_split	untested	
KISS-CONFORM-6.10-0003	test_conform_mislabeled_kernel_structural	untested	
KISS-CONFORM-6.10-0004	test_conform_consume_emit_siblings	untested	
KISS-CONFORM-6.10-0005	test_conform_expressibility_set_bundled	untested	
KISS-CONFORM-6.11-0001	test_conform_emit_consume_correspondence_lint	untested	
KISS-CONFORM-6.11-0002	test_conform_neutrality_audit_manifest	untested	
KISS-CONFORM-6.11-0003	test_conform_determinism_import_site_lint	untested	
KISS-CONFORM-6.12-0001	test_conform_consumer_verify_check	untested	
KISS-CONFORM-6.12-0002	test_conform_consumer_verify_reuses_oracle	untested	
KISS-CONFORM-6.12-0003	test_conform_consumer_verify_not_gating	untested	
KISS-CONFORM-6.13-0001	test_conform_announce_exact_byte_pod	untested	
KISS-CONFORM-6.13-0002	test_conform_announce_freeze_gate	untested	
KISS-CONFORM-6.13-0003	test_conform_classify_exact_byte_and_registry_bundle	untested	
KISS-CONFORM-6.13-0004	test_conform_classify_freeze_gate	untested	
KISS-CONFORM-6.13-0005	test_conform_ops_per_class_comparators	untested	
KISS-CONFORM-6.13-0006	test_conform_ops_oracle_and_freeze_gate	untested	
KISS-CONFORM-6.13-0007	test_conform_ops_transcendental_and_split	untested	
KISS-CONFORM-6.13-0008	test_conform_ops_opattrs_golden_hex	untested	
KISS-CONFORM-6.13-0009	test_conform_grammar_region_exact_byte	untested	
KISS-CONFORM-6.13-0010	test_conform_grammar_fuzz_and_freeze_gate	untested	
KISS-CONFORM-6.13-0011	test_conform_contract_consumer_verify	untested	
KISS-CONFORM-6.13-0012	test_conform_contract_schema_byte_compare	untested	
KISS-CONFORM-6.13-0013	test_conform_synth_fuzz_decline_and_comparator	untested	
KISS-CONFORM-6.13-0014	test_conform_consume_lift_oracle_and_refusals	untested	
KISS-CONFORM-6.13-0015	test_conform_consume_expressibility_and_join	untested	
KISS-CONFORM-6.13-0016	test_conform_emit_cross_standard_lint_and_freeze	untested	
KISS-CONFORM-6.13-0017	test_conform_emit_structural_and_tier2	untested	
KISS-CONFORM-6.13-0018	test_conform_all_build_gate_and_keying	untested	
KISS-CONFORM-6.13-0019	test_conform_announce_golden_vectors	untested	
KISS-CONFORM-6.13-0020	test_conform_contract_blurb_excluded	untested	
KISS-CONFORM-6.13-0021	test_conform_contract_audited_status	untested	
KISS-CONFORM-6.13-0022	test_conform_contract_semantics_to_floor	untested	
KISS-CONFORM-6.13-0023	test_conform_contract_malformed_decline	untested	
KISS-CONFORM-6.13-0024	test_conform_contract_freeze_gate	untested	
KISS-CONFORM-6.2-0001	test_conform_build_fails_untested_must	untested	
KISS-CONFORM-6.2-0002	test_conform_build_fails_dangling_cite	untested	
KISS-CONFORM-6.2-0003	test_conform_build_fails_retired_cite	untested	
KISS-CONFORM-6.2-0004	test_conform_build_fails_drift	untested	
KISS-CONFORM-6.2-0005	test_conform_gate_is_generate_time	untested	
KISS-CONFORM-6.2-0006	test_conform_mapped_tests_pass_runtime	untested	
KISS-CONFORM-6.3-0001	test_conform_matrix_composite_key	untested	
KISS-CONFORM-6.3-0002	test_conform_matrix_carries_metadata	untested	
KISS-CONFORM-6.3-0003	test_conform_suite_self_contained_bundle	untested	
KISS-CONFORM-6.3-0004	test_conform_frozen_matrix_immutable	untested	
KISS-CONFORM-6.4-0001	test_conform_golden_byte_vectors	untested	
KISS-CONFORM-6.4-0002	test_conform_golden_vectors_fully_pinned	untested	
KISS-CONFORM-6.4-0003	test_conform_golden_vectors_hex_rows	untested	
KISS-CONFORM-6.5-0001	test_conform_oracle_differential_harness	untested	
KISS-CONFORM-6.5-0002	test_conform_oracle_independent	untested	
KISS-CONFORM-6.5-0003	test_conform_reject_circular_vector	untested	
KISS-CONFORM-6.5-0004	test_conform_oracle_resolves_to_floor	untested	
KISS-CONFORM-6.5-0005	test_conform_oracle_authoring_independence	untested	
KISS-CONFORM-6.6-0001	test_conform_fuzzer_generates_valid_dags	untested	
KISS-CONFORM-6.6-0002	test_conform_fuzzer_every_backend	untested	
KISS-CONFORM-6.6-0003	test_conform_fuzzer_cross_backend_agreement	untested	
KISS-CONFORM-6.6-0004	test_conform_fuzzer_roundtrip_join	untested	
KISS-CONFORM-6.6-0005	test_conform_fuzzer_feeds_negative	untested	
KISS-CONFORM-6.6-0006	test_conform_fuzzer_includes_non_c_emitter	untested	
KISS-CONFORM-6.6-0007	test_conform_fuzz_finding_promoted	untested	
KISS-CONFORM-6.7-0001	test_conform_negative_typed_decline	untested	
KISS-CONFORM-6.7-0002	test_conform_decline_code_pinned	untested	
KISS-CONFORM-6.7-0003	test_conform_never_panic_fuzz	untested	
KISS-CONFORM-6.7-0004	test_conform_process_survives	untested	
KISS-CONFORM-6.7-0005	test_conform_decline_vs_residue_taxonomy	untested	
KISS-CONFORM-6.8-0001	test_conform_exact_byte_comparator	untested	
KISS-CONFORM-6.8-0002	test_conform_ulp_comparator	untested	
KISS-CONFORM-6.8-0003	test_conform_ulp_ceiling_enforced	untested	
KISS-CONFORM-6.8-0004	test_conform_nondeterministic_comparator	untested	
KISS-CONFORM-6.8-0005	test_conform_split_comparator	untested	
KISS-CONFORM-6.8-0006	test_conform_comparator_selection_rule	untested	
KISS-CONFORM-6.8-0007	test_conform_whole_kernel_downgrade	untested	
KISS-CONFORM-6.8-0008	test_conform_comparator_precedence	untested	
KISS-CONFORM-6.8-0009	test_conform_exact_byte_admissibility	untested	
KISS-CONFORM-6.9-0001	test_conform_structural_dag_equality	untested	
KISS-CONFORM-6.9-0002	test_conform_structural_not_source_bytes	untested	
KISS-CONFORM-6.9-0003	test_conform_roundtrip_tier1	untested	
KISS-CONFORM-7.1-0001	test_conform_mandatory_core	untested	
KISS-CONFORM-7.1-0002	test_conform_harness_typed_decline	untested	
KISS-CONFORM-7.2-0001	test_conform_consumer_verify_profile	untested	
KISS-CONFORM-7.2-0002	test_conform_fuzzer_corpus_versioned	untested	
KISS-CONFORM-7.2-0003	test_conform_optin_profile_defined	untested	
KISS-CONFORM-7.2-0004	test_conform_optin_profile_isolated	untested	
KISS-CONFORM-7.3-0001	test_conform_no_new_comparator_class	untested	
KISS-CONFORM-8-0001	test_conform_keys_on_schema_version	untested	
KISS-CONFORM-8-0002	test_conform_refactor_no_new_suite	untested	
KISS-CONFORM-8-0003	test_conform_suite_stamped_per_version	untested	
KISS-CONFORM-8-0004	test_conform_frozen_suite_immutable	untested	
KISS-CONFORM-8-0005	test_conform_unmodified_suite_only	untested	
KISS-CONFORM-8-0006	test_conform_freeze_gate_checklist	untested	
KISS-CONFORM-8-0007	test_conform_reference_impl_no_exemption	untested	
KISS-CONFORM-8-0008	test_conform_retire_by_floor	untested	
KISS-CONFORM-8-0009	test_conform_self_freeze_gate	untested	
KISS-CONFORM-8-0010	test_conform_canonical_suite_authoritative	untested	
KISS-CONSUME-6.0-0001	test_consume_determinism_class_exact_byte	untested	
KISS-CONSUME-6.1-0001	test_consume_recognition_structure_based	untested	
KISS-CONSUME-6.1-0002	test_consume_recognition_renaming_invariant	untested	
KISS-CONSUME-6.1-0003	test_consume_source_syntax_out_of_scope	untested	
KISS-CONSUME-6.1-0004	test_consume_input_structure_graph	untested	
KISS-CONSUME-6.2-0001	test_consume_lift_target_is_ops_dag	untested	
KISS-CONSUME-6.2-0002	test_consume_lift_resolves_to_floor	untested	
KISS-CONSUME-6.2-0003	test_consume_full_lift_produces_machine_checkable_ir	untested	
KISS-CONSUME-6.2-0004	test_consume_produces_no_artifact	untested	
KISS-CONSUME-6.2-0005	test_consume_records_structure_key_on_identity	untested	
KISS-CONSUME-6.2-0006	test_consume_op_identity_from_dag_root	untested	
KISS-CONSUME-6.2-0007	test_consume_lift_node_carries_opattrs	untested	
KISS-CONSUME-6.2-0008	test_consume_lift_input_signature	untested	
KISS-CONSUME-6.3-0001	test_consume_completeness_tracks_lift_fraction	untested	
KISS-CONSUME-6.3-0002	test_consume_residue_honest_never_faked	untested	
KISS-CONSUME-6.3-0003	test_consume_residue_never_withholds	untested	
KISS-CONSUME-6.3-0004	test_consume_residue_entry_tagged	untested	
KISS-CONSUME-6.3-0005	test_consume_residue_records_opset_version	untested	
KISS-CONSUME-6.3-0006	test_consume_handwritten_semantics_via_lifting	untested	
KISS-CONSUME-6.3-0007	test_consume_no_silent_drop_of_residue	untested	
KISS-CONSUME-6.3-0008	test_consume_residue_entry_schema	untested	
KISS-CONSUME-6.4-0001	test_consume_taxonomy_four_categories	lint:kiss_tables	a refusal-taxonomy restatement drops/renames one of the four categories
KISS-CONSUME-6.4-0002	test_consume_taxonomy_mece_ordered	untested	
KISS-CONSUME-6.4-0003	test_consume_refusal_not_a_kernel	untested	
KISS-CONSUME-6.4-0004	test_consume_refusal_wrong_op_class	untested	
KISS-CONSUME-6.4-0005	test_consume_refusal_unrecognized_but_expressible	untested	
KISS-CONSUME-6.4-0006	test_consume_refusal_inexpressible_residue	untested	
KISS-CONSUME-6.4-0007	test_consume_taxonomy_structure_based	untested	
KISS-CONSUME-6.4-0008	test_consume_decline_vs_residue_partition	untested	
KISS-CONSUME-6.5-0001	test_consume_refusal_is_typed_decline	untested	
KISS-CONSUME-6.5-0002	test_consume_never_panic_on_adversarial_input	untested	
KISS-CONSUME-6.5-0003	test_consume_no_hallucinated_node	untested	
KISS-CONSUME-6.6-0001	test_consume_roundtrip_tier1_structural	untested	
KISS-CONSUME-6.6-0002	test_consume_roundtrip_tier2_numeric_same_language_ondevice	untested	
KISS-CONSUME-6.6-0003	test_consume_roundtrip_no_cross_language_numeric	untested	
KISS-CONSUME-6.6-0004	test_consume_roundtrip_tier_selected_by_determinism_enum	untested	
KISS-CONSUME-6.6-0005	test_consume_emit_are_siblings_no_edge	untested	
KISS-CONSUME-6.6-0006	test_consume_roundtrip_whole_kernel_aggregation	untested	
KISS-CONSUME-7.1-0001	test_consume_mandatory_core	untested	
KISS-CONSUME-7.2-0001	test_consume_declared_subset_advertised	untested	
KISS-CONSUME-8.1-0001	test_consume_version_bump_rule	untested	
KISS-CONSUME-8.1-0002	test_consume_residue_opset_relative	untested	
KISS-CONSUME-9.1-0001	test_consume_claim_prerequisite_closed	untested	
KISS-CONSUME-9.1-0002	test_consume_out_of_claim_declines_cleanly	untested	
KISS-CONTRACT-6.0-0001	test_contract_determinism_class_exact_byte	untested	
KISS-CONTRACT-6.1-0001	test_contract_self_delimiting_document	untested	
KISS-CONTRACT-6.1-0003	test_contract_reject_unknown_version	untested	
KISS-CONTRACT-6.1-0005	test_contract_opaque_length_delimited_over_announce	untested	
KISS-CONTRACT-6.1-0006	test_contract_strict_schema	untested	
KISS-CONTRACT-6.1-0007	test_contract_kind_recognized_token	lint:kiss_wire	the recognized kind `kiss-contract` drifts between §6.1-0007 and the reader
KISS-CONTRACT-6.1-0008	test_contract_version_value_pinned	lint:kiss_wire	the schema version token `1` drifts between §6.1-0008 and the reader
KISS-CONTRACT-6.10-0001	test_contract_grammar_ops_seam_two_sections	untested	
KISS-CONTRACT-6.10-0002	test_contract_edge_case_and_ulp_from_ops	untested	
KISS-CONTRACT-6.10-0003	test_contract_single_op_vocabulary	untested	
KISS-CONTRACT-6.10-0004	test_contract_opattrs_cited_from_ops	untested	
KISS-CONTRACT-6.11-0003	test_contract_document_inner_length_and_crc	untested	
KISS-CONTRACT-6.11-0004	test_contract_document_section_headings	lint:kiss_tables	the seven-section document order drifts from the §6.2-0001 core
KISS-CONTRACT-6.11-0006	test_contract_text_positional_signature	untested	
KISS-CONTRACT-6.11-0008	test_contract_text_dispatch	untested	
KISS-CONTRACT-6.11-0009	test_contract_text_op_identity	untested	
KISS-CONTRACT-6.2-0001	test_contract_seven_section_core	lint:kiss_tables	the universal seven-section core drifts in an owner clause or a restated list
KISS-CONTRACT-6.2-0002	test_contract_existence_is_intrinsic	untested	
KISS-CONTRACT-6.2-0003	test_contract_no_op_class_withhold	untested	
KISS-CONTRACT-6.2-0004	test_contract_completeness_tracks_lift_fraction	untested	
KISS-CONTRACT-6.2-0005	test_contract_typed_decline_never_panic	untested	
KISS-CONTRACT-6.2-0006	test_contract_valid_without_grammar_tag	untested	
KISS-CONTRACT-6.3-0001	test_contract_identity_field_schema	untested	
KISS-CONTRACT-6.3-0002	test_contract_accept_is_structure_key	untested	
KISS-CONTRACT-6.3-0003	test_contract_op_identity_full_tag_or_bare_ops_dag	untested	
KISS-CONTRACT-6.3-0004	test_contract_op_identity_carries_distinguishing_attrs	untested	
KISS-CONTRACT-6.3-0005	test_contract_identity_requires_both	untested	
KISS-CONTRACT-6.3-0006	test_contract_identity_consistency	untested	
KISS-CONTRACT-6.3-0007	test_contract_target_capability_byte_exact	untested	
KISS-CONTRACT-6.3-0008	test_contract_revision_hash_opaque	untested	
KISS-CONTRACT-6.3-0009	test_contract_identity_header_match	untested	
KISS-CONTRACT-6.3-0010	test_contract_kernel_name_distinct	untested	
KISS-CONTRACT-6.3-0011	test_contract_structure_key_target_matches_capability	untested	
KISS-CONTRACT-6.4-0001	test_contract_semantics_mandatory	untested	
KISS-CONTRACT-6.4-0002	test_contract_op_dag_over_ops_and_grammar	untested	
KISS-CONTRACT-6.4-0003	test_contract_node_carries_opattrs	untested	
KISS-CONTRACT-6.4-0004	test_contract_edge_case_from_ops	untested	
KISS-CONTRACT-6.4-0005	test_contract_semantics_resolves_to_floor	untested	
KISS-CONTRACT-6.4-0006	test_contract_lowered_form_is_oracle	untested	
KISS-CONTRACT-6.4-0007	test_contract_semantics_kind_matches_lift	untested	
KISS-CONTRACT-6.4-0008	test_contract_region_maps_to_semantics	untested	
KISS-CONTRACT-6.4-0009	test_contract_op_dag_node_schema	untested	
KISS-CONTRACT-6.4-0010	test_contract_semantics_resolution_outcomes	untested	
KISS-CONTRACT-6.5-0001	test_contract_interface_field_schema	untested	
KISS-CONTRACT-6.5-0002	test_contract_positional_signature_complete	untested	
KISS-CONTRACT-6.5-0003	test_contract_interface_references_identity_target	untested	
